headline,relation,labels
코로나19 신규 확진 3000명대 사상 최대,O,1
"[시네마 품격⑭] 18년이 흘러도 ‘올드’하지 않은, 그리고 ‘올드’해지지 않을 영화",X,0
4000명도 넘어선다…점점 멀어지는 ‘위드 코로나’,O,1
에볼라 의료진 내년 1월까지 체류,O,1
"일산병원, 복지부·경기도·고양시와 ‘병문안 문화 개선’ MOU",X,0
"""日, 추가 양적완화는 20년 시달린 디플레 잡기""",X,0
"문재인 대통령 신년사 <전문> ""국민의 힘으로 오늘의 대한민국 완성""",X,0
메르스도 못막은 수입車의 질주… 상반기 판매량 27%나 늘어  점유율도 16.6% 역대 최대,O,1
이낙연 52일만에 다시 강원행…3일 춘천‧강릉‧원주 돌며 지지호소,X,0
전세계 슈퍼 박테리아 공포..인트론바이오 등 수혜,X,0
"KT, 하반기 채용전환형 인턴 채용…“IT 인력 확보”",X,0
의사에게 신종감염병 정보 제공한다,O,1
"스카이뉴스, 英 주유소들 기름 동났다…‘브렉시트’ 정책 유턴?",X,0
제주 3일 코로나 확진자 8명…나흘만에 다시 한자릿수,O,1
에볼라 감염 시에라리온 의사 미국 후송 치료…상태 심각,O,1
전북 김제 돼지농장 구제역 양성 판정…구제역 위기단계 격상,O,1
"기아차, '기아 타이거즈 1위 기념 이벤트' 실시",X,0
'국회법 거부권 쓰나미'에 정치 일정 전면 중단 위기,X,0
"'신종플루' 방역마스크, 성능 검사 뒤 유통된다",O,1
국정농단 와중에…AI 방역망도 뚫렸다,O,1
여야 ‘메르스 합의’ 뒷 이야기…정보 공개 수준ㆍ확진검사 권한 쟁점,O,1
강릉의료원 간호사 메스르 1차 양성 반응…외래진료 폐쇄,O,1
수성못 불꽃축제 14일 개최…‘최강 라인업’ 출연진은?,X,0
[속보] 오후 9시까지 1475명 신규확진…전일 대비 269명 ↓,O,1
경기도.경기중기센터 공동 'G-JOB FAIR 채용박람회' 성황리 종료,X,0
<메르스 진정국면 지속 ‘일상 복귀’>소비심리 ‘꿈틀’… 백화점 세일 매출 ‘껑충’,O,1
"정부, 개도국 소녀 지원 등 개발협력 4대 구상 이행 계획 확정",X,0
"돼지 독감주로 분류됐던 테마주, 좋다 말았네",O,1
"국제금융협회(IIF), 올해 이어 내년에도  한국 2%대 성장 예상",X,0
움츠렀던 AI 재개하나…제주서 첫 발생,O,1
"서울시, 내년 예산안 27.4조 편성…‘복지+도시재생’ 중점",X,0
"""박근혜 왕조시대"" vs. ""때가 어느 때인데""",X,0
"경기도, '2021 대한민국 안전산업박람회' 13~17일 온라인 개최",X,0
"[황출새]안상수""이재명 '인간 쓰레기'라는 사람도 있는데 인기비결이 궁금해""",X,0
"외국인 집단감염, 추석 연휴 여파 본격화",O,1
'물리지 않는게 상책…봄철 야생진드기 주의하세요',X,0
"[사설]7월째 0%대 물가, 개소세 인하 등 특단책 검토해야",X,0
"정선군, 2021년 사회조사 실시",X,0
"[한수진의 SBS 전망대] ""메르스 의료진 하루도 쉬지 못해…대체 인력 시급""",O,1
건강상태 확인하는 보건 선생님,X,0
‘편지 임종’ 한국을 눈물바다로,X,0
"C형간염 집단감염...""아픈 원장 대신 부인이 채혈 지시""",O,1
[메르스 이번주 고비] 불확실성이 문제… 세월호보다 더 큰 경제 충격,O,1
중국 시장 한국 화장품 인기 여전히 ‘견고’,X,0
"美, 로봇까지 동원…'초강력 자외선' 병실 소독",O,1
"케리 미국 국무장관 ""중일 정상회담 매우 건설적""",X,0
"조성은 ""김웅, 대검에 고발장 접수하라 해…尹·金 법적 소송할 것""(종합)",X,0
"존재감 없는 野혁신위, 8일 2차 혁신안 발표…'명예회복' 하나",X,0
光엑스포 연기…경기도 122건 취소,X,0
"[국무회의 발언 전문] 朴대통령, 국회와의 전면전 선언",X,0
"김병우 교육감 ""메르스 지역맞춤형 매뉴얼 필요""",O,1
"'교육 사다리 놓기' 이재용 삼성 부회장, 현장 방문",X,0
"""이번주 모더나 600만회분 '협의 중'…계약서 대신 이메일 받아""",O,1
[의료바이오]메르스 사태 여파로 보건부 독립 요구 높아져,O,1
"유럽, 신종 인플루엔자 환자 6173명으로 늘어",O,1
"메르스 환자 3명 추가, 총 165명…퇴원자는 5명 늘어",O,1
“환경-복지-혁신이 선순환 이루는 새로운 성장 전략 마련을”,X,0
"문형표 ""서울시 발표 유감, 긴밀히 협의했다""",X,0
<‘SI공포’ 全대륙 확산> 스페인서 간접감염 확인 유럽 비상,O,1
"6월 서비스 물가, 메르스 영향 미미",O,1
"시진핑, SCO 정상회의서 ""외부 건섭 용납하지 않을 것""",X,0
"[시선집중] 유승민 ""김재원은 윤석열 꼭두각시, 그럴 거면 지도부 물러나라""",X,0
"""메르스 핫라인 다국어 서비스 19개 언어로 확대""(4보)",O,1
"김포시, 김포 대곶면 양계농가 닭  AI에 감염",X,0
"스페인 간호사, 유럽 내 첫 에볼라 감염",O,1
"문경서, 영·호남 관광교류 활성화 모색",X,0
"콜럼비아, 남미 최초로 신종플루 확인",O,1
"적외선 카메라로 '기내 검역'…의심환자 증가세 주춤
",O,1
"“소두증 바이러스, 미 대륙 전체로 번질 듯”…주요 증상과 예방법은?",O,1
"'병원 내 감염' 첫 사망…입원환자·가족 ""불안""",O,1
"ITU 전권회의, 에볼라 대응책 점검",O,1
"李대통령, 신종플루 백신 접종병원 전격 방문",O,1
“내년초 유럽 업체 최초 한국주식시장 상장”하는 바이오벤처,X,0
"한국관광공사, 안전하고 올바른 캠핑 위해 현장 나섰다",X,0
"사스 수혜종목 단기 접근 바람직 .. 추격매수 '위험'
",O,1
스테디셀러 vs 창작… 한 여름 밤의 ‘뮤지컬 전쟁’,X,0
[DT 발언대] IP텔레포니 시장과 전망,X,0
"박범계 ""범죄규명 법무장관 일, 尹 핵심 수사대상""…野 반발 일축",X,0
코로나19 와중에 외국계 IT 국내 지사장들 연쇄 물갈이 ‘주목’,O,1
돼지콜레라 전국 예방접종 실시,O,1
`1호 곡예단' 84년 풍상 끝에 역사속으로,X,0
"[이브닝 이슈] '희노애락' 교차한 2015년, 가장 먼저 떠오르는 일은?",X,0
"삼성서울병원 찾은 이재용 부회장 ""메르스 못막아 죄송하다""",O,1
"黃총리, 취임 12일 만에 총리실 직원들과 상견례",X,0
산후조리원 2주에 2천만원?…전국 최고 서울 강남 소재 ,X,0
멸종위기종 밀수…‘어린이 체험행사’에 쓰여,X,0
"與 ""대통령 절박 여야 동참""…野 ""훈시 뿐인 속빈 강정""",X,0
"ebXML, 방카슈랑스 아키텍처로 부상",X,0
심학봉 파문에 새누리당 지지율 30%대로 추락,X,0
"구인난에 시급 올린 월마트, 주가는 왜 오를까 [글로벌마켓 A/S]",X,0
"방글라데시, 첫 신졸 플루 환자 발생",O,1
"“WHO, 北에 신종플루 백신 47만5천명분 제공”",O,1
[서울 구청단신]은평·금천·송파·구로·강동구,X,0
신종플루로 이틀새 2명 사망,O,1
현대차등 車업계 신종 플루확진자 유급휴가 인정키로,O,1
"학생·교직원 '코로나 우울' 방지…""정신건강 전문가 상담 및 치료비 지원""",O,1
오바마 취임 100일,X,0
국내 신종 플루 1명 추가 발생…42명으로 늘어,O,1
"""활성산소가 인체 면역력 강화시킨다""",O,1
"내가 사면 신종플루, 기관이 사면 타미플루?",O,1
추가경정예산안 관련 국회 시정연설 전문,X,0
'앞으로도 계속 만나요' 한미 정상회담 공동성명 전문,X,0
조류인플루엔자(AI) 발생에 따른 대응 상황,O,1
광주 변이바이러스 500명 돌파…확진자 10명 중 한 명꼴,O,1
오늘의 주요뉴스(오전 9시),X,0
"삼풍백화점 붕괴 20년, 배우 김상경 당시 현장서 구조활동? “아비규환, 무서웠다”",X,0
"지카바이러스 증상, 독감과 비슷하다",O,1
하반기 취준생 면접 준비 예상 비용 '평균 48만 원',X,0
"해운업계 '때아닌 호황'..선박은 적고.전쟁에도 물동량은 폭증
",X,0
"[STOCK] 대한항공, 한진해운 용선료 협상 마무리… 주가 긍정적",X,0
투자자라면 꼭 봐야 할 오늘의 10대 투자뉴스-21일,X,0
오늘의 주요뉴스 (오전 7시),X,0
"여보, 추석 차례상엔 한우 못 올리겠어요",X,0
천안·음성·진천·세종 고병원성 'AI' 무더기 확진,O,1
"최경환 ""메르스 감염자 국경 넘는 일 없어야""",O,1
인구 4억 '남미 경제통합' 가속화,X,0
"축제의 서막, 대구국제뮤지컬페스티벌 '개막축하공연'",X,0
"감사원, 메르스 예비감사 착수…연말 전후해 결과 발표",O,1
"메르스 의사 상태, 에크모 부착 “깨운 후에야 뇌 손상 판단”",O,1
'중동 사스' 메르스는 어떤 병?,O,1
"원주시, 메르스 격리 임용시험 수험생 자택 응시 조치",O,1
부산 메르스 환자 발생 “3차 검사에서 양성” 무슨 일이 있었나,O,1
"北 ""美, 남 훈시 전에 제 집안 인권실태부터 바로잡아야""",X,0
"""뽑아놓으면 나가고.."" 한 중소기업의 생존실험",X,0
"8월초 개각설…복지부 장관 교체, 안전처 장관 등도 거론",X,0
"이브자리, 기능성 침구류로 가을·겨울 시즌 겨냥",X,0
美 증시 더 오르나 조정받나···17일이 1차 관건 [김영필의 3분 월스트리트],X,0
메르스 확진자 9명 추가…전체 환자 50명,O,1
사스 관련 예방방역,O,1
"""韓 미술시장, 10년간 성장 정체…물납제 등 제도적 지원 도입 필요""",X,0
"증평군, '안전한 지역사회 만들기' 순항 중",X,0
"[포토]전국 농민들 ""농촌에서 여름휴가 보내세요""",X,0
"신종플루 치료제, 제대로 알고 먹어라",O,1
"""日 신종플루 백신접종 6천∼8천엔""",O,1
수도권 확진자 최다… 귀성길 전국 확산 우려 커져,O,1
뉴욕發 훈풍에 코스피 상승세,X,0
"""美, 인도에 백신수출 재개 압박...쿼드 회담 때 발표예상""",X,0
"김포시, 휴일 없는 신종플루 예방 강화",O,1
메르스 격리병동 방문한 박 대통령,O,1
"비건화장품 브랜드 '투비건', K-BEAUTY EXPO 2021 참가",X,0
[굿모닝MBN]7월 11일 핫클릭 랭킹뉴스,X,0
내주부터 전국민 35% 신종플루 백신 접종,O,1
'메르스 예방 개인 위생이 최고',O,1
"“先조정 종목 주목하라”
",X,0
[강원포럼]접경주민 종합지원책 절실,X,0
"종합소득세, 이달 말까지 중간납부해야",X,0
"[주진우 라이브] 이탄희 “고발사주 아니라 명백한 총선개입, 수사정보정책관이 검찰총장 지시없이 움직였다는 말 사실상 상상하기 어려워”",X,0
캘리포니아 신종플루 비상...벌써 95명 사망,O,1
[속보] 코로나19 신규확진 2천8명‥이틀만에 다시 2천명대,O,1
‘메르스 우려’ 충북 36곳 휴업…수학여행·행사 취소,O,1
공연계 ‘불황 독감’ ‘엄마 열풍’ 그나마 위안,O,1
신종플루 중앙대책본부 출범,O,1
올해 첫 수능 모의평가 실시…EBS 연계율 70% 유지,X,0
"강금실 법무·황창규 사장, 아시아의 ""스타""(상보)",X,0
“내수 살아난다”는 정부…반짝 효과 그칠 우려,X,0
경기도 로컬푸드 직매장 매출 증가…작년 450억원,X,0
[똑기자 취재파일] 입국 꺼리는 바이어들…메르스 파장 일파만파,O,1
예방접종은 무료인데 왜 검사비는 비싸지?,O,1
"""평등위 통해 차별 없는 '빛고을공동체' 건설""",X,0
불황 속 온정 '뚝',X,0
"추석 귀성길 2일 오전, 귀경길 3일 오후 가장 혼잡",X,0
"대구의사회 ""말할 수 없는 실망감과 분노…수술실 CCTV법 막아야""",X,0
"""지카 바이러스, 감염 두 달 뒤에도 정액에 존재한다”",O,1
"쿠팡, 3년 만에 공정위 가장 많이 만났다…왜?",X,0
'고창까지 내려온 구제역' 전남도 긴장감 고조,O,1
[기자수첩]메르스 병원 정보공개와 금융의 닮은꼴,O,1
"전남도, AI 발생한 해남 '이동중지' 조치",O,1
"<일문일답>통계청, ""경기회복 추세 흐름 이어가고 있다""",X,0
"기장군, 안전취약가구 소화기·화재감지기 설치 완료",X,0
"""SI에 동요하지 않아요""",X,0
서울관광 홍보하는 박원순 시장,X,0
"中서만 하루 4천여명…검역 한계
",O,1
돼지콜레라 전국 확산 일로,O,1
[유럽마감]일제히 상승 마감…에너지 관련주 강세,X,0
신종 플루 사이트 오픈 하자마자 먹통，英 망신살,O,1
"방대본 “렘데시비르, 타미플루 같은 방역의미 없어...임상 중”",O,1
"[서울경제TV] 서울 양천구, 메르스 자가격리자에 생필품 맞춤형 배달",O,1
메르스 확산 비상…보건당국 뒷북 대응 논란,O,1
"부산항만공사, 지역아동센터 메르스 예방교육",O,1
광복절 ‘신바람 축제’…여의도 K-POP으로 물든다,X,0
서울의료원 의료진과 기념촬영하는 오세훈 시장,X,0
태반주사 '멜스몬' 신종플루 예방효과,O,1
尹 ‘고발 사주’ 이어 ‘장모 문건’ 의혹… 넓어진 여야 대치전선,X,0
다시 메르스 창궐하나,O,1
“NFT로 누구나 예술품 소장하는 시대”,X,0
지카바이러스 주요 대책 점검 회의 참석한 정진엽 장관,O,1
"심상정 ""메가시티, 잘 연구했지만 기후 위기 전략 아니면 낡은 것""",X,0
"한은 ""금리인하는 이제 그만"" 작심 공세",X,0
"안산시, 코로나19 피해 중소기업에 육성자금 500억 원 융자 지원",O,1
[김박사 오늘 기업·사람] 구글·카카오·삼성·남양유업,X,0
"秋, 대장동 의혹 尹 향해 ""박영수가 최태원 덮었다면 몰랐을까""",X,0
美딕셔너리 닷컴 신조어 300개 추가…포켓몬·고스팅 등,X,0
"코스피, PR 매물 증가…1600선 '주춤'",X,0
"반기문 측 ""대선 출마? 아는 바 없고 사실 아냐""",X,0
"이근규 제천시장 '쓴소리', 성명중 의장 겨냥?",X,0
말많던 '제2롯데 주차예약제' 1일부터 사라진다,X,0
"올 한해, '티몬'서 가장 많이 팔린 상품 '맥심'…2위는?",X,0
"노철래 ""野, 문형표 해임주장…국민선동 말라""",X,0
삼겹살 수입량 봄철 크게 증가,X,0
"백신 2차접종 단축 개별통보?…""공지 못받았다""",O,1
"美 지카 바이러스 비상 대응, '지카 진단기구' 상업적 사용 허용",O,1
'학생없는 강의실',O,1
때 이른 무더위 ‘반갑다’…에어컨 업계 ‘바쁘다 바빠’,X,0
"포스코, 2020 동반성장지수 '최우수' 선정…'착한 소비' 동참",X,0
C형간염 건강검진시 검사한다…전수감시하기로,O,1
3천만원 상품권 '불티'…백화점 추석 선물 판매 호조,X,0
[데스크시각―염성덕] 전국휴교령과 강제실시권,X,0
'정기현 원장'…신임 국립중앙의료원장 유력,X,0
3년만에 발생한 메르스,O,1
9~10월 예방접종 바로알기 캠페인,O,1
'반려견 등록은 필수',X,0
"위드코로나 언제? 정은경 ""10월말부터 단계적 일상회복 검토 가능""",O,1
폐업한 상가에 아직도 재난지원금 안내문이…[청계천 옆 사진관],X,0
"복지부, C형 간염 전수조사",O,1
"학교·보건당국, 감염자 정보 신속 공유",O,1
비 맞는 강릉시의회,X,0
"에어프레미아 ”탑승객 90%, 넓고 편안한 좌석 서비스에 만족”",X,0
"“서야할 곳에 서있을 뿐이다” 원유철 원내대표체제 100일…“당·청 화창, 당내 명암”",X,0
메르스도 비껴간 분양열풍...천안 불당 지웰시티 푸르지오 견본주택 북새통,O,1
"에버랜드, 해외 관광객 유치 불났네~ 내달 중국관광객 4만명 유치계약",X,0
"""택시에 고추·오이 키워요""…코로나로 관광객 줄자 이런 일까지",O,1
"장밋빛 청사진이면 좋았을걸…개미만 믿는 카카오 주가, 날개없는추락",X,0
"경찰청, 인도네시아 경찰에 '경찰 시스템' 비대면 전수",X,0
"[뉴있저] ""정치공작"" 윤석열 '격앙'...김웅은 '맹탕' 기자회견",X,0
"전남도, 백신 접종률 60% 달성",O,1
"(특징주)솔고바이오, 플라즈마 청정기 효과..상한가",X,0
"울산교육청, 신종플루 확산방지 강화방안 추진",O,1
"계란 못 먹는데, 대체 식품 뭐가 좋을까?",X,0
"""아는 듯 모르는 여행 만족지수 올리는 법""",X,0
충청·영남서 집단감염 속출...비수도권 사흘 만에 '4백 명대',O,1
"[포토]정진엽 장관, 굳은 표정",X,0
"당·정·업계 ""서발법, 우리 경제 마중물될 법안""…野 압박",X,0
"전년 대비 86% 순익 성장 트립닷컴, 그 원동력은?",X,0
"아산 메르스 안정권 회복, 지역경제 활성화",O,1
일양약품 “신약개발과 글로벌진출에 전력”,X,0
"서울 관악구, ‘추석 명절 종합대책’ 발표…7대 분야 중점 추진",X,0
"국민 78% ""우리사회 불안""",X,0
미국 입맛 사로잡은 K-푸드,X,0
"외래관광객 1,700만 명 돌파로 역대 최대 기록 경신",X,0
"박범계, ‘대장동 전담수사팀’ 승인…“총장 의지 있어”",X,0
"중기중앙회, 폐업한 소기업·소상공인과 함께하는 '희망 시무식'",X,0
"""귀신들렸다"" 언니 말에 ‘물고문 피살’ 막지 못한 친모 징역 3년",X,0
MBN 09시 주요뉴스,X,0
카카오 김범수 발목잡은 '100人 CEO 육성',X,0
"[美친주] 우버, 저평가 매력 부각될까… ""흑자전환 기대감 UP""",X,0
"메르스 안양 확진자, 호계동 거주 60대男 첫 확진…삼성서울병원서 부인 병간호 中 감염",X,0
"용산소방서, 구급대원 신종 플루 예방 특별교육 실시",O,1
확진 환자 태운 택시 승객 23명 이상 확인,O,1
에볼라 바이러스 감염국 男 여전히 행방묘연 ‘왜 숨었나?’,O,1
취약계층 1천336만명 신종플루 예방 접종,O,1
"[나이트포커스] 이낙연 사직안 가결...비워진 '정치1번지', 정치권 '술렁'",X,0
윤석열 “빈곤과의 전쟁 선포…긴급구조 프로그램 가동”,X,0
올 국내 휘발유·경유 소비 급증,X,0
"군인들 수분보충제, 소금→알약→이온음료로 진화",X,0
"한림예고 학생 3명 홍역… ""외국인과 우연히 접촉 감염 추정"" ",O,1
"하이투자증권, 비대면 미국주식 매매 이벤트",O,1
"수원시, 쓰레기 반입량 전년대비 2797t 감량",X,0
"이재명 “소득 많다 지원대상 배제, 차별될 수 있다”",X,0
미국서 '성관계 전파' 지카바이러스 감염 첫 보고,O,1
12∼17세·임신부 내달 18일부터 접종...고위험군 부스터샷 시작,O,1
강원도내 19일 코로나19 신규 확진자 29명,O,1
[의료바이오]메르스 사태 `반면교사` 감염병 대응 활발,O,1
"""합병 삼성물산 기업가치 약 41조원""…주당 적정가치 24만원",X,0
"이상헌 더민주 시당위원장, 울산 북구 총선 출마선언",X,0
작년 전국국립공원 탐방객 수 4533만명…전년대비 2.3% 감소,X,0
[사진]또 다시 '메르스',O,1
지난해 항공여객 사상 첫 1억명 돌파,X,0
SI공포 세계전역 무섭게 확산…뉴욕 제 2 발원지 되나 ‘긴장’,O,1
"내일 초복, 삼계탕 조리 때 '캠필로박터 식중독' 조심...칼 도마 등 따로 써야",X,0
'추적60분' 메르스 보도에 편성시간 옮긴 후 최고 시청률,O,1
[해인싸]'바겐 헌팅 할까?' 글로벌 투자자들 중국 회사채 매수 저울질,X,0
"입 벌릴 때마다 ‘딱, 딱’… 방치하면 안 되는 이유",X,0
"[서울경제TV] 대신증권 “메르스, 국내 증시 영향 제한적”",O,1
서울시 메르스 용어 바로잡기 추진…‘슈퍼전파자’→‘다수전파 환자’,O,1
"안병만 교육, 신종플루 예방태세 점검",O,1
부산 코로나19 확진세 8일만에 50명대...시장 연쇄감염 확산,O,1
"""민생안전 우선"" 시의회 예결위, 울산시 3차 추경 원안 가결",X,0
인천공항 방문한 복지부 장관,X,0
"정세균 ""에볼라 발생국 파견, 현실에 맞게 국격 따져야""",O,1
"무안공항, 9월 이용객 증가…휴가끝 광주·여수는 감소",X,0
"㈜코인스 이앤씨 김정원 대표, 고향 구룡포에 사랑의 물품 기탁",X,0
"보건 당국, 통제 능력 있나? 메르스 뒷북 행정 도마",O,1
"깨끗한나라, 추석 명절 맞아 기부·도시락 배달 봉사 실시",X,0
'감염 온상' 응급실 면회 최소화…방문객 기록,O,1
[현장IN] 개인은 늘고 기업은 줄고…역전된 기부문화,X,0
"""WHO, 北신종플루 환자 9명 모두 회복""<RFA>",O,1
"'여성 혐오'의 역사...2010년, 무슨 일이 있었나?",X,0
메르스 확진환자 발생 '통제합니다',O,1
"주택금융공사, 저소득 위기 가정에 생활비 지원",X,0
내 말벗은 AI로봇이에요,X,0
‘유성국화전시회’ 내달 2일 개막…유림공원 등 11개동 분산 개최,X,0
트뤼도 캐나다 총리 조기총선 승부수는... '절반의 성공',X,0
"[강인선의 모닝라이브]  앞서기를 두려워하는 리더, 누가 따르겠나",X,0
[속보] 1주간 일평균 학생 261.1명 코로나19 확진…역대 '최다',O,1
"코오롱 ""헌혈하고 휴가가세요"" 릴레이 캠페인 전개",X,0
"메르스로 물러난 문형표 전 장관, 국민연금공단 이사장으로 복귀",O,1
"고승범 ""은행대출 중단 확산될 수도…은행 자체적으로 할 일""",X,0
영등포 학원 방문한 박원순 서울시장,X,0
"WHO ""중국, 올해 신종 AI 감염자 40명 넘어""",O,1
"[사설] 메르스, 이제 최대 고비는 넘겼으나",O,1
"메르스특위, 발병초기 입원환자 대책 못낸 보건당국 질타",O,1
광주·전남서 코로나19 확진자 각각 36명·15명 발생,O,1
한경ESG Vol.3 - 2021년 9월호,X,0
"""삽교호 폐사 오리도 AI 감염 가능성""",O,1
"한돈자조금, 코로나19 의료진 위해 총 4000만원 상당 한돈 전달",O,1
"기술보증기금, 코로나 방역 보건 인력 응원",O,1
"“메르스 루머, 괴담 치부 단계 넘었다?” 유승민 “이제 못 막으면 정부 능력 문제”",O,1
"12~17세 접종 계획 27일 발표…""고령층엔 부스터샷""",O,1
"[SNS핫피플] BTS, 미국 MTV어워즈 3관왕…3년째 수상 外",X,0
"신규 환자 2,434명...사태 발생 이후 최다",X,0
<경제계산책> 채용시장 상반기 10대뉴스,X,0
"목포시, 18세 이상 코로나19 예방접종 미접종자 10월부터 접종 실시",O,1
"[마감]코스닥, 700선 깬 뒤 막판뒷심…하루 5% 등락",X,0
중국發 괴질로 세계 IT업계 타격,X,0
소형아파트 동나니 중소형이 심상치 않네,X,0
"지카 바이러스 증상은? ""붉은 발진과 근육통""",O,1
메르스 격리자 하루새 573명 늘어 1364명…3차 감염 3명(종합),O,1
"전북 메르스 신고 여성 '음성' 판정 받았지만…""아찔한 방역체계""",O,1
경남 거제서 콜레라 의심환자 발생…“60대 남성 해산물 날 것 섭취 추정”,O,1
"""지자체도 신종플루 방지 총력""",O,1
"확진자 발생에 마을 통째 격리…""옥살이가 따로 없다""",O,1
[메르스 종식임박]환자 절반.. 삼성서울병원 52일의 불명예,O,1
"천안 종(씨)오리 AI발생농가 3km 내 닭, 오리 살처분",O,1
“추석때 단체행사 자제를”,O,1
홍용표 통일장관 '장관도 예외없이 발열체크',O,1
PR 매도 급증..코스피 1580선 등락,X,0
